window,lookback,crps_early,crps_late
60,10,0.04678193070475925,0.030114556799387026
60,20,0.0467467736296329,0.030083556337745055
60,30,0.046745339795530694,0.03007858561110071
60,50,0.04672708380210969,0.030087902668136688
90,10,0.04664579438974902,0.029932323784571037
90,20,0.04663086643955853,0.029911476693476848
90,30,0.04665185035780977,0.029908026066702405
90,50,0.04664845664982762,0.029910520537146452
120,10,0.04670409014376274,0.029803113360425758
120,20,0.04669469134626838,0.029815084236261554
120,30,0.04669620178994088,0.02981148979039648
120,50,0.046700124541750064,0.02981734793086416
180,10,0.04700530941466884,0.029815645616688827
180,20,0.047005176914372074,0.029808180641299115
180,30,0.0470103801480867,0.02980112002929378
180,50,0.04700948215853688,0.029806304387468133
